" ","score","status","future","trend","pressures","resilience"
"Index",82.43,,86.06,,,
"Food Provision",4.92,4.49,5.35,0,,
". Fisheries",4.43,4,4.85,0,19.28,84.01
". Mariculture",61.19,60.69,61.69,-0.28,19.34,81.2
"Artisanal Fishing Opportunity",89.31,80.05,98.57,0,14.48,84.88
"Natural Products",96.48,92.96,100,-0.01,12.78,86.43
"Carbon Storage",,100,,,,88.12
"Coastal Protection",87.21,78.67,95.76,0.02,26.24,88.12
"Tourism & Recreation",100,100,100,0.01,39.18,92.67
"Coastal Livelihoods & Economies",99.41,98.82,100,0.45,,
". Livelihoods",98.82,97.64,100,-0.11,15.36,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.24,86.67,91.81,-0.06,,
". Iconic Species",78.47,73.33,83.61,-0.12,17.72,85.57
". Lasting Special Places",100,100,100,0,23.38,85.85
"Clean Waters",82.05,78.52,85.58,-0.06,54.18,92.67
"Biodiversity",93.23,89,97.46,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.36,84.73
". Species",89.47,84.03,94.91,-0.11,22.99,85.43
