"rgn_id","habitat","extent_rank"
12,"seagrass",747.503
4,"seagrass",747.503
8,"seagrass",747.503
10,"seagrass",747.503
2,"seagrass",747.503
14,"seagrass",747.503
7,"seagrass",747.503
11,"seagrass",747.503
5,"seagrass",747.503
3,"seagrass",747.503
1,"seagrass",747.503
9,"seagrass",747.503
6,"seagrass",747.503
13,"seagrass",747.503
12,"seaice_shoreline",17401.9607843137
4,"seaice_shoreline",17401.9607843137
8,"seaice_shoreline",17401.9607843137
10,"seaice_shoreline",17401.9607843137
2,"seaice_shoreline",17401.9607843137
14,"seaice_shoreline",17401.9607843137
7,"seaice_shoreline",17401.9607843137
11,"seaice_shoreline",17401.9607843137
5,"seaice_shoreline",17401.9607843137
3,"seaice_shoreline",17401.9607843137
1,"seaice_shoreline",17401.9607843137
9,"seaice_shoreline",17401.9607843137
6,"seaice_shoreline",17401.9607843137
13,"seaice_shoreline",17401.9607843137
