"rgn_id","habitat","km2"
12,"mangrove",0
4,"mangrove",0
8,"mangrove",0
10,"mangrove",0
2,"mangrove",0
14,"mangrove",0
7,"mangrove",0
11,"mangrove",0
5,"mangrove",0
3,"mangrove",0
1,"mangrove",0
9,"mangrove",0
6,"mangrove",0
13,"mangrove",0
12,"rocky_reef",254.989
4,"rocky_reef",254.989
8,"rocky_reef",254.989
10,"rocky_reef",254.989
2,"rocky_reef",254.989
14,"rocky_reef",254.989
7,"rocky_reef",254.989
11,"rocky_reef",254.989
5,"rocky_reef",254.989
3,"rocky_reef",254.989
1,"rocky_reef",254.989
9,"rocky_reef",254.989
6,"rocky_reef",254.989
13,"rocky_reef",254.989
12,"seagrass",747.503
4,"seagrass",747.503
8,"seagrass",747.503
10,"seagrass",747.503
2,"seagrass",747.503
14,"seagrass",747.503
7,"seagrass",747.503
11,"seagrass",747.503
5,"seagrass",747.503
3,"seagrass",747.503
1,"seagrass",747.503
9,"seagrass",747.503
6,"seagrass",747.503
13,"seagrass",747.503
12,"soft_bottom",99114.8
4,"soft_bottom",99114.8
8,"soft_bottom",99114.8
10,"soft_bottom",99114.8
2,"soft_bottom",99114.8
14,"soft_bottom",99114.8
7,"soft_bottom",99114.8
11,"soft_bottom",99114.8
5,"soft_bottom",99114.8
3,"soft_bottom",99114.8
1,"soft_bottom",99114.8
9,"soft_bottom",99114.8
6,"soft_bottom",99114.8
13,"soft_bottom",99114.8
12,"seaice_edge",6014.0931372549
4,"seaice_edge",6014.0931372549
8,"seaice_edge",6014.0931372549
10,"seaice_edge",6014.0931372549
2,"seaice_edge",6014.0931372549
14,"seaice_edge",6014.0931372549
7,"seaice_edge",6014.0931372549
11,"seaice_edge",6014.0931372549
5,"seaice_edge",6014.0931372549
3,"seaice_edge",6014.0931372549
1,"seaice_edge",6014.0931372549
9,"seaice_edge",6014.0931372549
6,"seaice_edge",6014.0931372549
13,"seaice_edge",6014.0931372549
12,"seaice_shoreline",4350.49019607843
4,"seaice_shoreline",4350.49019607843
8,"seaice_shoreline",4350.49019607843
10,"seaice_shoreline",4350.49019607843
2,"seaice_shoreline",4350.49019607843
14,"seaice_shoreline",4350.49019607843
7,"seaice_shoreline",4350.49019607843
11,"seaice_shoreline",4350.49019607843
5,"seaice_shoreline",4350.49019607843
3,"seaice_shoreline",4350.49019607843
1,"seaice_shoreline",4350.49019607843
9,"seaice_shoreline",4350.49019607843
6,"seaice_shoreline",4350.49019607843
13,"seaice_shoreline",4350.49019607843
