"cntry_key","year","usd"
"DNK",1980,9945.784121
"DNK",1981,10784.52446
"DNK",1982,11875.26391
"DNK",1983,12681.06967
"DNK",1984,13712.59136
"DNK",1985,14694.11936
"DNK",1986,15745.11434
"DNK",1987,16233.19498
"DNK",1988,16762.04794
"DNK",1989,17486.01789
"DNK",1990,18424.13744
"DNK",1991,19275.13514
"DNK",1992,20056.27626
"DNK",1993,20410.05689
"DNK",1994,21914.19524
"DNK",1995,22934.74646
"DNK",1996,24037.24403
"DNK",1997,25233.18044
"DNK",1998,26123.7505
"DNK",1999,26921.74072
"DNK",2000,28817.78866
"DNK",2001,29433.10154
"DNK",2002,30756.72714
"DNK",2003,30438.12835
"DNK",2004,32280.23435
"DNK",2005,33193.23729
"DNK",2006,35999.26513
"DNK",2007,37692.61217
"DNK",2008,39829.58367
"DNK",2009,38267.95689
"DNK",2010,40587.87467
"DNK",2011,40932.96883
"DNK",2012,41387.96836
