"cntry_key","sector","year","value"
"DNK","cf",2003,5511.5298
"DNK","cf",2004,5149.0145
"DNK","cf",2005,4742.6778
"DNK","cf",2006,4199.8145
"DNK","cf",2007,3745.0686
"DNK","cf",2008,1660.309
"DNK","mar",2003,189.884593116
"DNK","mar",2004,179.934122277
"DNK","mar",2005,408.73705029
"DNK","mar",2006,388.6736967
"DNK","mar",2007,382.6507797
"DNK","mar",2008,192.811564215
"DNK","mmw",1998,0
"DNK","mmw",2008,0
"DNK","tour",2005,373813.04663
"DNK","tour",2006,355200.761814
"DNK","tour",2007,332474.182459
"DNK","tour",2008,331004.791552
"DNK","tour",2009,348147.685462
"DNK","tour",2010,332474.182459
