"cntry_key","year","jobs"
"DNK",1990,"2913556.26806033"
"DNK",1991,"2910402.65747624"
"DNK",1992,"2919548.63457459"
"DNK",1993,"2896373.15215289"
"DNK",1994,"2780833.32788703"
"DNK",1995,"2824149.78850008"
"DNK",1996,"2837345.11264789"
"DNK",1997,"2858331.43779284"
"DNK",1998,"2847137.74759596"
"DNK",1999,"2879103.71327468"
"DNK",2000,"2864613.53552771"
"DNK",2001,"2852288.91916807"
"DNK",2002,"2879651.75925336"
"DNK",2003,"2872393.44491943"
"DNK",2004,"2905970.50022261"
"DNK",2005,"2902347.32550766"
"DNK",2006,"2933042.86161961"
"DNK",2007,"2933486.2238372"
"DNK",2008,"2966071.97658073"
"DNK",2009,"2952487.03909694"
"DNK",2010,"2930964.71651854"
"DNK",2011,"2930445.23269873"
"DNK",2012,"2913883.01741543"
