"rgn_id","year","popsum"
12,2005,5245140
4,2005,5245140
8,2005,5245140
10,2005,5245140
2,2005,5245140
14,2005,5245140
7,2005,5245140
11,2005,5245140
5,2005,5245140
3,2005,5245140
1,2005,5245140
9,2005,5245140
6,2005,5245140
13,2005,5245140
12,2006,5247530
4,2006,5247530
8,2006,5247530
10,2006,5247530
2,2006,5247530
14,2006,5247530
7,2006,5247530
11,2006,5247530
5,2006,5247530
3,2006,5247530
1,2006,5247530
9,2006,5247530
6,2006,5247530
13,2006,5247530
12,2007,5249930
4,2007,5249930
8,2007,5249930
10,2007,5249930
2,2007,5249930
14,2007,5249930
7,2007,5249930
11,2007,5249930
5,2007,5249930
3,2007,5249930
1,2007,5249930
9,2007,5249930
6,2007,5249930
13,2007,5249930
12,2008,5252320
4,2008,5252320
8,2008,5252320
10,2008,5252320
2,2008,5252320
14,2008,5252320
7,2008,5252320
11,2008,5252320
5,2008,5252320
3,2008,5252320
1,2008,5252320
9,2008,5252320
6,2008,5252320
13,2008,5252320
12,2009,5254710
4,2009,5254710
8,2009,5254710
10,2009,5254710
2,2009,5254710
14,2009,5254710
7,2009,5254710
11,2009,5254710
5,2009,5254710
3,2009,5254710
1,2009,5254710
9,2009,5254710
6,2009,5254710
13,2009,5254710
12,2010,5257110
4,2010,5257110
8,2010,5257110
10,2010,5257110
2,2010,5257110
14,2010,5257110
7,2010,5257110
11,2010,5257110
5,2010,5257110
3,2010,5257110
1,2010,5257110
9,2010,5257110
6,2010,5257110
13,2010,5257110
12,2011,5256870
4,2011,5256870
8,2011,5256870
10,2011,5256870
2,2011,5256870
14,2011,5256870
7,2011,5256870
11,2011,5256870
5,2011,5256870
3,2011,5256870
1,2011,5256870
9,2011,5256870
6,2011,5256870
13,2011,5256870
12,2012,5256640
4,2012,5256640
8,2012,5256640
10,2012,5256640
2,2012,5256640
14,2012,5256640
7,2012,5256640
11,2012,5256640
5,2012,5256640
3,2012,5256640
1,2012,5256640
9,2012,5256640
6,2012,5256640
13,2012,5256640
12,2013,5256400
4,2013,5256400
8,2013,5256400
10,2013,5256400
2,2013,5256400
14,2013,5256400
7,2013,5256400
11,2013,5256400
5,2013,5256400
3,2013,5256400
1,2013,5256400
9,2013,5256400
6,2013,5256400
13,2013,5256400
12,2014,5256170
4,2014,5256170
8,2014,5256170
10,2014,5256170
2,2014,5256170
14,2014,5256170
7,2014,5256170
11,2014,5256170
5,2014,5256170
3,2014,5256170
1,2014,5256170
9,2014,5256170
6,2014,5256170
13,2014,5256170
12,2015,5255930
4,2015,5255930
8,2015,5255930
10,2015,5255930
2,2015,5255930
14,2015,5255930
7,2015,5255930
11,2015,5255930
5,2015,5255930
3,2015,5255930
1,2015,5255930
9,2015,5255930
6,2015,5255930
13,2015,5255930
