"rgn_id","species","sust_coeff"
12,"Atlantic cod",0.283333333
4,"Atlantic cod",0.283333333
8,"Atlantic cod",0.283333333
10,"Atlantic cod",0.283333333
2,"Atlantic cod",0.283333333
14,"Atlantic cod",0.283333333
7,"Atlantic cod",0.283333333
11,"Atlantic cod",0.283333333
5,"Atlantic cod",0.283333333
3,"Atlantic cod",0.283333333
1,"Atlantic cod",0.283333333
9,"Atlantic cod",0.283333333
6,"Atlantic cod",0.283333333
13,"Atlantic cod",0.283333333
12,"Atlantic salmon",0.5
4,"Atlantic salmon",0.5
8,"Atlantic salmon",0.5
10,"Atlantic salmon",0.5
2,"Atlantic salmon",0.5
14,"Atlantic salmon",0.5
7,"Atlantic salmon",0.5
11,"Atlantic salmon",0.5
5,"Atlantic salmon",0.5
3,"Atlantic salmon",0.5
1,"Atlantic salmon",0.5
9,"Atlantic salmon",0.5
6,"Atlantic salmon",0.5
13,"Atlantic salmon",0.5
12,"Blue mussel",0.93
4,"Blue mussel",0.93
8,"Blue mussel",0.93
10,"Blue mussel",0.93
2,"Blue mussel",0.93
14,"Blue mussel",0.93
7,"Blue mussel",0.93
11,"Blue mussel",0.93
5,"Blue mussel",0.93
3,"Blue mussel",0.93
1,"Blue mussel",0.93
9,"Blue mussel",0.93
6,"Blue mussel",0.93
13,"Blue mussel",0.93
12,"European eel",0.43
4,"European eel",0.43
8,"European eel",0.43
10,"European eel",0.43
2,"European eel",0.43
14,"European eel",0.43
7,"European eel",0.43
11,"European eel",0.43
5,"European eel",0.43
3,"European eel",0.43
1,"European eel",0.43
9,"European eel",0.43
6,"European eel",0.43
13,"European eel",0.43
12,"European flounder",0.444010417
4,"European flounder",0.444010417
8,"European flounder",0.444010417
10,"European flounder",0.444010417
2,"European flounder",0.444010417
14,"European flounder",0.444010417
7,"European flounder",0.444010417
11,"European flounder",0.444010417
5,"European flounder",0.444010417
3,"European flounder",0.444010417
1,"European flounder",0.444010417
9,"European flounder",0.444010417
6,"European flounder",0.444010417
13,"European flounder",0.444010417
12,"European whitefish",0.444010417
4,"European whitefish",0.444010417
8,"European whitefish",0.444010417
10,"European whitefish",0.444010417
2,"European whitefish",0.444010417
14,"European whitefish",0.444010417
7,"European whitefish",0.444010417
11,"European whitefish",0.444010417
5,"European whitefish",0.444010417
3,"European whitefish",0.444010417
1,"European whitefish",0.444010417
9,"European whitefish",0.444010417
6,"European whitefish",0.444010417
13,"European whitefish",0.444010417
12,"Marine fishes nei",0.477777778
4,"Marine fishes nei",0.477777778
8,"Marine fishes nei",0.477777778
10,"Marine fishes nei",0.477777778
2,"Marine fishes nei",0.477777778
14,"Marine fishes nei",0.477777778
7,"Marine fishes nei",0.477777778
11,"Marine fishes nei",0.477777778
5,"Marine fishes nei",0.477777778
3,"Marine fishes nei",0.477777778
1,"Marine fishes nei",0.477777778
9,"Marine fishes nei",0.477777778
6,"Marine fishes nei",0.477777778
13,"Marine fishes nei",0.477777778
12,"Rainbow trout",0.566666667
4,"Rainbow trout",0.566666667
8,"Rainbow trout",0.566666667
10,"Rainbow trout",0.566666667
2,"Rainbow trout",0.566666667
14,"Rainbow trout",0.566666667
7,"Rainbow trout",0.566666667
11,"Rainbow trout",0.566666667
5,"Rainbow trout",0.566666667
3,"Rainbow trout",0.566666667
1,"Rainbow trout",0.566666667
9,"Rainbow trout",0.566666667
6,"Rainbow trout",0.566666667
13,"Rainbow trout",0.566666667
12,"Sea trout",0.466666667
4,"Sea trout",0.466666667
8,"Sea trout",0.466666667
10,"Sea trout",0.466666667
2,"Sea trout",0.466666667
14,"Sea trout",0.466666667
7,"Sea trout",0.466666667
11,"Sea trout",0.466666667
5,"Sea trout",0.466666667
3,"Sea trout",0.466666667
1,"Sea trout",0.466666667
9,"Sea trout",0.466666667
6,"Sea trout",0.466666667
13,"Sea trout",0.466666667
12,"Turbot",0.5
4,"Turbot",0.5
8,"Turbot",0.5
10,"Turbot",0.5
2,"Turbot",0.5
14,"Turbot",0.5
7,"Turbot",0.5
11,"Turbot",0.5
5,"Turbot",0.5
3,"Turbot",0.5
1,"Turbot",0.5
9,"Turbot",0.5
6,"Turbot",0.5
13,"Turbot",0.5
