"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,150,154,1,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","1",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,2,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","2",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,3,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","3",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,4,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","4",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,5,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","5",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,6,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","6",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,7,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","7",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,8,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","8",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,9,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","9",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,10,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","10",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,11,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","11",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,12,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","12",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,13,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","13",3.33616e+11,1,1,0,-0.009247586858436
1,150,154,14,3.33616e+11,-0.009247586858436,-0.009247586858436,-0.009247586858436,-0.009247586858436,3.33616e+11,3.33616e+11,3.33616e+11,14,14,14,14,14,14,"v","14",3.33616e+11,1,1,0,-0.009247586858436
